Title,Price,Neighbourhood,Image URL,Posting URL,Property Type,Size,Rooms
Appartement duplex 133m2 pénétrante azban...,1 290 000 DH,"Nassim 2 à
   					Casablanca",https://www.mubawab-media.com/ad/7/947/596F/m/IMG_20231202_113024_77912425.jpg,https://www.mubawab.ma/fr/a/7947596/appartement-duplex-133m2-p%C3%A9n%C3%A9trante-azbane,Appartement,"133
						m²",5 Pièces
Appartement à l'achat à Ain Borja. Superf...,700 000 DH,"Ain Borja à
   					Casablanca",https://www.mubawab-media.com/ad/7/946/634F/m/photo_00_77848806.jpeg,https://www.mubawab.ma/fr/a/7946634/appartement-%C3%A0-l-achat-%C3%A0-ain-borja-superficie-77-m%C2%B2-salon-marocain-s%C3%A9curit%C3%A9,Appartement,"77
						m²",2 Pièces
Appartement à califorie Surface totale 34...,4 200 000 DH,"Mandarona à
   					Casablanca",https://www.mubawab-media.com/ad/7/945/906F/m/photo_0_77807029.jpg,https://www.mubawab.ma/fr/a/7945906/appartement-%C3%A0-califorie-surface-totale-342-m%C2%B2,Appartement,"312
						m²",4 Pièces
L'opportunité de créer votre appartement...,2 950 000 DH,"Gauthier à
   					Casablanca",https://www.mubawab-media.com/ad/7/945/750F/m/WhatsApp%20Image%202023-02-24%20at%2011.16.35_77788854.jpeg,https://www.mubawab.ma/fr/a/7945750/l-opportunit%C3%A9-de-cr%C3%A9er-votre-appartement-de-r%C3%AAve,Appartement,"204
						m²",6 Pièces
Villa à vendre Ain Sebaa,2 500 000 DH,"Aïn Sebaâ à
   					Casablanca",https://www.mubawab-media.com/ad/7/945/116F/m/5F8CC286-DC25-4B19-BE95-7DF9B2416E51_77741532.JPG,https://www.mubawab.ma/fr/a/7945116/villa-%C3%A0-vendre-ain-sebaa,Villa,"218
						m²",8 Pièces
Appartement à vendre 81 m² 3 chambres Ain...,802 500 DH,"Aïn Sebaâ à
	 					Casablanca",https://www.mubawab-media.com/ad/7/782/821F/m/11%20%281%29_19005834_56803958.jpg,https://www.mubawab.ma/fr/pa/7782821/appartement-%C3%A0-vendre-81-m%C2%B2-3-chambres-ain-sbaa-casablanca,Appartement,"71
						m²",4 Pièces
Vend appartement à Hay Mohammadie. 3 cham...,1 024 600 DH,"Hay Mohammadi à
	 					Casablanca",https://www.mubawab-media.com/ad/7/884/104F/m/MEK_0354_70759338_70759422.JPG,https://www.mubawab.ma/fr/pa/7884104/vend-appartement-%C3%A0-hay-mohammadie-3-chambres,Appartement,"94
						m²",4 Pièces
"Appartement de 50 m² en vente, Résidence...",250 000 DH,"Bernoussi à
	 					Casablanca",https://www.mubawab-media.com/ad/7/589/614F/m/662A2080_35220085_35221311_35291830_36195902.jpg,https://www.mubawab.ma/fr/pa/7589614/appartement-de-50-m%C2%B2-en-vente-r%C3%A9sidence-jnan-sbil,Appartement,"50
						m²",3 Pièces
Appartement de 87m2 en vente avec place d...,1 150 000 DH,"Belvédère à
	 					Casablanca",https://www.mubawab-media.com/ad/7/714/870F/m/IMG_2320_49045540.jpg,https://www.mubawab.ma/fr/pa/7714870/appartement-de-87m2-en-vente-avec-place-de-parking-de-13-m2,Appartement,"87
						m²",5 Pièces
Appartement de 148m² en vente avec place...,1 640 000 DH,"Belvédère à
	 					Casablanca",https://www.mubawab-media.com/ad/7/713/201F/m/IMG_2330-HDR_48829146.jpg,https://www.mubawab.ma/fr/pa/7713201/appartement-de-148m%C2%B2-en-vente-avec-place-de-parking-de-14m2,Appartement,"148
						m²",5 Pièces
Appartement de 87m² en vente place de par...,1 150 000 DH,"Belvédère à
	 					Casablanca",https://www.mubawab-media.com/ad/7/599/030F/m/IMG_2303_35699285_37100997.jpg,https://www.mubawab.ma/fr/pa/7599030/appartement-de-87m%C2%B2-en-vente-place-de-parking-titr%C3%A9e-de-13m%C2%B2-chraibi-immobilier,Appartement,"87
						m²",3 Pièces
Studio de 42m² en vente Blue Skies,1 027 000 DH,"Riviera à
	 					Casablanca",https://www.mubawab-media.com/ad/7/503/673F/m/Blue%20Skies%2010_31755670_31798468.jpg,https://www.mubawab.ma/fr/pa/7503673/studio-de-42m%C2%B2-en-vente-blue-skies,Appartement,"47
						m²",2 Pièces
Studio de 48m² et 50m² de cour en vente B...,1 517 000 DH,"Riviera à
	 					Casablanca",https://www.mubawab-media.com/ad/7/503/663F/m/Blue%20Skies%2016_31755668_31798515.jpg,https://www.mubawab.ma/fr/pa/7503663/studio-de-48m%C2%B2-et-50m%C2%B2-de-cour-en-vente-blue-skies,Appartement,"65
						m²",2 Pièces
Villa à vendre à ANFA,7 000 000 DH,"Ain Diab à
   						Casablanca",https://www.mubawab-media.com/ad/7/916/101F/m/WhatsApp%20Image%202024-05-08%20at%2014.32.04_800x600_75343184.jpeg,https://www.mubawab.ma/fr/a/7916101/villa-%C3%A0-vendre-%C3%A0-anfa,Villa,"300
						m²",6 Pièces
Studio de 49m² en vente Blue Skies,1 131 000 DH,"Riviera à
   						Casablanca",https://www.mubawab-media.com/ad/7/503/656F/m/Blue%20Skies%203_31755674_31798561.jpg,https://www.mubawab.ma/fr/pa/7503656/studio-de-49m%C2%B2-en-vente-blue-skies,Appartement,"49
						m²",2 Pièces
"Appartement 96m² en vente, Résidence Al B...",800 000 DH,"Al Azhar à
   						Casablanca",https://www.mubawab-media.com/ad/7/624/609F/m/IMG_4291-HDR_39836986_39886955_39887067_39887218_39887336_39887554_39887950_39966606.jpg,https://www.mubawab.ma/fr/pa/7624609/appartement-96m%C2%B2-en-vente-r%C3%A9sidence-al-badr,Appartement,"96
						m²",4 Pièces
Très bel appartement de 128 m² à la vente,2 190 000 DH,"Maârif à
   						Casablanca",https://www.mubawab-media.com/ad/7/936/728F/m/WhatsApp%20Image%202023-03-19%20at%2016.36.32_77038337.jpeg,https://www.mubawab.ma/fr/a/7936728/tr%C3%A8s-bel-appartement-de-128-m%C2%B2-%C3%A0-la-vente,Appartement,"128
						m²",3 Pièces
Appartement de 97m² en vente avec place d...,1 220 000 DH,"Belvédère à
   						Casablanca",https://www.mubawab-media.com/ad/7/705/911F/m/IMG_2340-HDR%20copie_48095183.jpg,https://www.mubawab.ma/fr/pa/7705911/appartement-de-97m%C2%B2-en-vente-avec-place-de-parking,Appartement,"97
						m²",4 Pièces
"Apartement de 83m² en vente, Résidence El...",795 000 DH,"Bernoussi à
   						Casablanca",https://www.mubawab-media.com/ad/7/276/873F/m/IMG_1232_13480149_13507161.jpg,https://www.mubawab.ma/fr/pa/7276873/apartement-de-83m%C2%B2-en-vente-r%C3%A9sidence-el-yassamine,Appartement,"83
						m²",3 Pièces
Vente d'un bel appartement à Ain Diab Ext...,3 200 000 DH,"Ain Diab Extension à
   						Casablanca",https://www.mubawab-media.com/ad/7/914/867F/m/photo_00_75258017.jpg,https://www.mubawab.ma/fr/a/7914867/vente-d-un-bel-appartement-%C3%A0-ain-diab-extension-3-chambres-jardin-et-ascenseur,Appartement,"140
						m²",2 Pièces
Somptueuse maison à vendre à Californie...,7 850 000 DH,"Californie à
   						Casablanca",https://www.mubawab-media.com/ad/7/892/906F/m/photo_0_72198687.jpg,https://www.mubawab.ma/fr/a/7892906/somptueuse-maison-%C3%A0-vendre-%C3%A0-californie-surface-totale-417-m%C2%B2-jardin-et-terrasse,Villa,"417
						m²",3 Pièces
"Appartement de 50 m² en vente, Résidence...",250 000 DH,"Bernoussi à
   						Casablanca",https://www.mubawab-media.com/ad/7/589/597F/m/662A2123_35220078_35221299_35291773_36195671.jpg,https://www.mubawab.ma/fr/pa/7589597/appartement-de-50-m%C2%B2-en-vente-r%C3%A9sidence-jnan-sbil,Appartement,"50
						m²",3 Pièces
Studio de 49m² en vente Blue Skies,1 255 000 DH,"Riviera à
   						Casablanca",https://www.mubawab-media.com/ad/7/503/635F/m/Blue%20Skies%207_31755672_31798679.jpg,https://www.mubawab.ma/fr/pa/7503635/studio-de-49m%C2%B2-en-vente-blue-skies,Appartement,"49
						m²",2 Pièces
Bel appartement à vendre à Hay Mohammadi...,1 132 750 DH,"Hay Mohammadi à
   						Casablanca",https://www.mubawab-media.com/ad/7/885/121F/m/MEK_0166_70919684.JPG,https://www.mubawab.ma/fr/pa/7885121/bel-appartement-%C3%A0-vendre-%C3%A0-hay-mohammadi-3-belles-chambres,Appartement,"98
						m²",4 Pièces
Un Studio CFC spacieux à vendre meublé,1 850 000 DH,"Casablanca Finance City à
   						Casablanca",https://www.mubawab-media.com/ad/7/947/836F/m/683918bb-aa8b-4973-bd0f-df8b2f6089fe_77943225.jpg,https://www.mubawab.ma/fr/a/7947836/un-studio-cfc-spacieux-%C3%A0-vendre-meubl%C3%A9,Appartement,"33
						m²",1 Pièce
Appartement à vendre à Californie. Surfac...,1 400 000 DH,"Ain Chock à
   						Casablanca",https://www.mubawab-media.com/ad/7/698/888F/m/copie-0V6A8965_47300461_47301426.png,https://www.mubawab.ma/fr/pa/7698888/appartement-%C3%A0-vendre-%C3%A0-californie-surface-de-84-m%C2%B2,Appartement,"84
						m²",2 Chambres
Appartements de qualité à vendre Dar Boua...,600 000 DH,"Oulfa à
   						Casablanca",https://www.mubawab-media.com/ad/7/921/454F/m/IMG-20240521-WA0003_75699769_75699921.jpg,https://www.mubawab.ma/fr/pa/7921454/appartements-de-qualit%C3%A9-%C3%A0-vendre-dar-bouazza-de-60-%C3%A0-72-m2,,"60
						m²",3 Pièces
Des apparts à vendre de 83 m²à 105 bernou...,725 000 DH,"Bernoussi à
   						Casablanca",https://www.mubawab-media.com/ad/7/935/396F/m/3f12886e-9af8-48c7-9dc8-3efe057380f7_76816866.jpg,https://www.mubawab.ma/fr/a/7935396/des-apparts-%C3%A0-vendre-de-83-m%C2%B2%C3%A0-105-bernoussi,Appartement,"83
						m²",3 Pièces
Un joli appartement à prix intéressant,660 000 DH,"Sidi Moumen à
   					Casablanca",https://www.mubawab-media.com/ad/7/944/511F/m/IMG-20240606-WA0026_77667702.jpg,https://www.mubawab.ma/fr/a/7944511/un-joli-appartement-%C3%A0-prix-int%C3%A9ressant,Appartement,"73
						m²",3 Pièces
Villa d’exception quartier Chantilly,13 500 000 DH,"Anfa à
   					Casablanca",https://www.mubawab-media.com/ad/7/943/514F/m/3_77597290.jpg,https://www.mubawab.ma/fr/a/7943514/villa-d%E2%80%99exception-quartier-chantilly,Maison,"562
						m²",16 Pièces
Belle occasion à saisir. Appartement à ve...,200 000 DH,"City Dar Es Salaam à
   					Casablanca",https://www.mubawab-media.com/ad/7/942/388F/m/photo_00_77488733.jpeg,https://www.mubawab.ma/fr/a/7942388/belle-occasion-%C3%A0-saisir-appartement-%C3%A0-vendre,Appartement,"52
						m²",3 Pièces
Appartement en vente à Californie. 3 bell...,2 200 000 DH,"Californie à
   					Casablanca",https://www.mubawab-media.com/ad/7/942/332F/m/photo_0_77484621.jpg,https://www.mubawab.ma/fr/a/7942332/appartement-en-vente-%C3%A0-californie-3-belles-chambres-meubl%C3%A9,Appartement,"135
						m²",3 Pièces
Studio à vendre à Gauthier,Prix à consulter,"Gauthier à
   					Casablanca",https://www.mubawab-media.com/ad/7/941/152F/m/PHOTO-2024-06-24-22-19-45%203_77419700.jpg,https://www.mubawab.ma/fr/a/7941152/studio-%C3%A0-vendre-%C3%A0-gauthier,Appartement,"49
						m²",2 Pièces
